4.95930560	6.33887691	6.89102552	7.30154203	7.04791981	5.69985830	9.01395389	9.63564302	5.32494302	4.42745480	8.44758058
4.90795457	6.52653959	6.89102552	7.34225898	7.25185340	5.71687581	8.86342746	9.46104073	5.32494302	4.42745480	8.49898038
4.95879707	6.33170666	6.89108706	7.30080855	7.04432501	5.70297867	9.02164991	9.64639627	5.32494118	4.42753411	8.44799887
4.90749578	6.53273364	6.95481946	7.34115131	7.25220189	5.72900141	8.86065982	9.45881662	5.30098524	4.42308860	8.45022409
4.95920710	6.33483211	6.89098909	7.30291887	7.04556179	5.70474952	9.02183599	9.64052864	5.32491843	4.42743004	8.45514160
4.90702125	6.53431824	6.94319689	7.34196874	7.25213072	5.72390023	8.86161418	9.45528647	5.30107396	4.42089345	8.46079590
4.96556225	6.33234899	6.92663266	7.30255460	7.04052968	5.70925252	9.02657836	9.64810051	5.30240150	4.41669153	8.41504374
4.90834604	6.53251190	7.01857892	7.34171751	7.25235132	5.74488350	8.86220583	9.45847136	5.26751237	4.40614767	8.41883096
4.92100574	6.63667527	6.86498569	7.34523949	7.33312652	5.72112665	8.74530977	9.44800688	5.33623853	4.42955664	8.47334422
4.91450962	6.49065642	6.94235197	7.33747168	7.20885504	5.72322854	8.90484849	9.47998444	5.30336760	4.41920443	8.46832873
4.91319308	6.50571368	6.84707314	7.33759633	7.22592426	5.69093396	8.88569912	9.47871078	5.33501865	4.43747446	8.53447706
4.95663961	6.33118689	6.84416169	7.30596288	7.04626898	5.69639472	9.02420214	9.64644617	5.33839148	4.44606577	8.45577964
4.91318366	6.44095836	6.90417024	7.32719794	7.15678259	5.71894962	8.92903174	9.51202438	5.32677918	4.42709048	8.46330123
4.90816582	6.52440914	6.89369343	7.34336035	7.24319296	5.72152343	8.86436307	9.46246931	5.32531505	4.42738104	8.48782369
4.94641475	6.33769401	6.89156885	7.30011780	7.05371049	5.70341089	9.01265239	9.62946603	5.32501845	4.42744100	8.44466547
4.95636508	6.33204893	6.89113579	7.30299003	7.04318364	5.70146263	9.02165045	9.64746384	5.32495831	4.42745200	8.44762723
4.95332464	6.35308511	6.80343484	7.30948757	7.06878150	5.66429422	9.00875776	9.62988488	5.31389379	4.42880130	8.54120841
4.94126709	6.42342886	6.85897513	7.31857529	7.13603429	5.69892306	8.94632459	9.55513361	5.33579456	4.44101365	8.46761686
4.90550497	6.54158685	6.90630015	7.34345822	7.26308439	5.72250150	8.85381885	9.44830373	5.32398267	4.42389871	8.48961027
4.91136421	6.51615146	6.89412573	7.33880858	7.23700043	5.71684302	8.87527187	9.47227626	5.32474844	4.42673481	8.49267505
